feature,coefficient,abs_coefficient
bb_upper,-0.5549718722316179,0.5549718722316179
bb_lower,0.48638889687722014,0.48638889687722014
close,-0.4335054722309375,0.4335054722309375
close_lag_3,0.3364595503663814,0.3364595503663814
close_lag_5,-0.28086602352014817,0.28086602352014817
sma_5,0.2668442153219708,0.2668442153219708
low,-0.24998285571529166,0.24998285571529166
sentiment_ma_7,0.20881430470909643,0.20881430470909643
news_count,-0.20724972422204338,0.20724972422204338
close_lag_10,0.18802512989045103,0.18802512989045103
rsi,-0.1862180576590753,0.1862180576590753
open,-0.13247025958488057,0.13247025958488057
sentiment_negative,0.12939988193274796,0.12939988193274796
rsi_lag_5,0.12825904861276993,0.12825904861276993
sentiment_score,0.12766863868804232,0.12766863868804232
news_count_ma_7,0.1149471973565118,0.1149471973565118
sentiment_score_lag_3,-0.1122108840395679,0.1122108840395679
volume,-0.11051497413284832,0.11051497413284832
close_lag_1,0.10806262113195968,0.10806262113195968
sentiment_std,-0.09496998065675162,0.09496998065675162
sentiment_max,-0.0948817907124151,0.0948817907124151
volume_lag_3,0.08584344441684658,0.08584344441684658
rsi_lag_10,-0.08051767067206558,0.08051767067206558
sentiment_positive,-0.07318840421573859,0.07318840421573859
macd_signal,-0.0710194503765339,0.0710194503765339
sma_10,0.06918703768637033,0.06918703768637033
sentiment_neutral,-0.06854191585715969,0.06854191585715969
bb_middle,-0.06431814147412482,0.06431814147412482
sma_20,-0.06431814147412482,0.06431814147412482
macd_hist,0.06329236982907677,0.06329236982907677
rsi_lag_1,0.06143976777000312,0.06143976777000312
sentiment_volatility,0.05754793612431432,0.05754793612431432
sentiment_score_lag_5,0.05605502612696871,0.05605502612696871
volume_lag_5,-0.05448876208252043,0.05448876208252043
sentiment_ma_3,-0.05370465578184606,0.05370465578184606
ema_26,0.052031243620922686,0.052031243620922686
ema_12,0.05027621573752852,0.05027621573752852
high,-0.04804507876344686,0.04804507876344686
macd,-0.0463969880135142,0.0463969880135142
volume_lag_10,-0.04469042447819433,0.04469042447819433
sentiment_change,0.0356009232777057,0.0356009232777057
sentiment_ma_14,-0.03221212379956774,0.03221212379956774
sma_50,0.028839957256785283,0.028839957256785283
sentiment_score_lag_1,-0.02798516653921612,0.02798516653921612
sentiment_min,0.018665035485489544,0.018665035485489544
sentiment_score_lag_10,0.015840398353839436,0.015840398353839436
volume_lag_1,-0.011042741205860676,0.011042741205860676
rsi_lag_3,-0.006110916123282136,0.006110916123282136
